DishID,DishName,Category,Ingredients,Calories,Protein,Carbs,Fat,Calcium,Iron,VitaminC,Allergens,Price,Season,PopularityScore,MEXT_Compliance,PreparationType
M0001,Grilled Salmon with Rice,main,"salmon (80g), steamed rice (150g), soy sauce (5g)",320,20.5,42.0,8.5,12,0.8,0,fish,180,Spring,9,1,On-site
M0002,Chicken Teriyaki,main,"chicken thigh (100g), soy sauce (10g), mirin (10g), sugar (5g)",250,20.0,10.0,12.0,15,1.0,0,soy,200,All,10,1,On-site
M0003,Beef Curry with Rice,main,"beef (80g), curry roux (20g), potato (50g), carrot (30g), onion (50g), steamed rice (200g)",600,22.0,90.0,15.0,40,2.5,8,wheat,250,Winter,10,1,On-site
M0004,Oyako Donburi,main,"chicken (80g), egg (50g), onion (30g), soy sauce (10g), steamed rice (200g)",520,25.0,70.0,12.0,38,2.0,0,egg,220,All,9,1,On-site
M0005,Yakisoba,main,"wheat noodles (150g), cabbage (50g), pork (40g), yakisoba sauce (15g)",420,14.0,62.0,12.0,25,1.5,8,wheat,180,Summer,8,1,CK
M0006,Shoyu Ramen,main,"ramen noodles (150g), pork slices (40g), soy sauce broth (250ml), nori (3g)",450,16.0,65.0,14.0,22,1.8,0,wheat,200,Winter,9,1,On-site
M0007,Grilled Mackerel,main,"mackerel (90g), salt (2g)",210,19.0,0,14.0,12,1.2,0,fish,180,Autumn,9,1,On-site
M0008,Chicken Katsu,main,"chicken breast (100g), panko (20g), egg (20g), frying oil (10g)",370,24.0,15.0,18.0,20,1.2,0,wheat,200,All,10,1,On-site
M0009,Tofu Steak with Vegetables,main,"tofu (100g), soy sauce (10g), carrot (30g), spinach (30g)",190,12.0,10.0,10.0,80,2.0,15,soy,150,Spring,7,1,On-site
M0010,Chirashi Sushi,main,"vinegared rice (150g), salmon sashimi (30g), egg strips (20g), cucumber (20g)",280,12.0,48.0,6.0,30,1.0,5,fish,200,Spring,9,1,On-site
M0011,Shogayaki Pork,main,"pork slices (100g), ginger (5g), soy sauce (10g), mirin (10g)",280,20.0,8.0,16.0,15,1.0,0,soy,190,All,8,1,On-site
